addr,category,context,id1,name,rank
강원도 홍천군 두촌면 괘석리 116,"숙박,호텔",,1194921077,세이지우드 홍천,17
강원도 홍천군 내면 광원리,"여행,명소,폭포","폭포,계곡,캠핑,깨끗한,힐링",13496736,칡소폭포,18
강원도 홍천군 동면 덕치리 9,"종교,불교","계곡,생태공원,연꽃,고즈넉한,단풍놀이",13289348,수타사,19
강원도 홍천군 내촌면,"여행,명소,계곡","계곡,캠핑,트래킹,깨끗한,산행",13490897,용소계곡,20
강원도 화천군 화천읍 하1리 붕어섬,"여행,명소,섬","섬,붕어,레일바이크,깨끗한,경치",11491885,붕어섬,1
강원도 화천군 사내면 광덕리 산273-105,"여행,명소,천문대","천문대,별보기,계곡,재미있는,산행",37191996,조경철천문대,2
강원도 화천군 하남면 용암리 용화산,"여행,명소,산,고개","등산,휴양림,계곡,화려한,암벽등반",11491483,용화산,3
강원도 화천군 간동면 간척리 674-1,"여행,명소,산,고개","등산,산행,단풍,편안한,계곡",11491471,오봉산,4
강원도 화천군 화천읍 동촌리,"여행,명소,계곡","트래킹,계곡,단풍길,깨끗한,등산",13491568,비수구미계곡,5
강원도 화천군 하남면 서오지리 25-7,"여행,명소,자연명소","연꽃단지,빙어낚시,유원지,깨끗한,체험관",21082738,연꽃단지,6
강원도 화천군 사내면 용담리,"여행,명소,계곡","계곡,캠핑,유원지,깨끗한,산행",13491383,삼일계곡,7
강원도 화천군 하남면 원천리 649,"여행,명소,체험마을","연꽃단지,도자기체험,공방,호젓한,구절초",21082737,동구래마을,8
강원도 화천군 상서면 다목리 799,"여행,명소,체험마을","계곡,산책로,서점,나들이,도서관",15817189,감성마을,9
강원도 화천군 상서면 구운리 1174,"숙박,캠핑,야영장",,1879710185,만산동국민여가캠핑장,10
강원도 화천군 사내면 광덕리 산273-107,"여행,명소,산,고개","계곡,천문대,등산,산행,억새밭",15818256,광덕산,11
강원도 화천군 사내면 광덕리,"여행,명소,계곡","계곡,막걸리,캠핑,천문대,백숙",13491901,광덕계곡,12
강원도 화천군 간동면 간척리 산151-1,"숙박,캠핑,야영장",,1245635948,국립화천숲속야영장,13
강원도 화천군 화천읍 동촌리,"여행,명소,테마공원","공원,전망대,평화로운,드라이브,도시락",19494422,세계평화의종공원,14
강원도 화천군 상서면 산양리,"여행,명소,거리,골목",,37490168,사방거리,15
강원도 화천군 사내면 삼일리 168,"숙박,캠핑,야영장","캠핑,계곡,수영장,깨끗한,힐링",32769436,러브팜캠핑장,16
강원도 화천군 하남면 거례리 514-1,"여행,명소,식물원,수목원",,85795977,아를테마수목원,17
강원도 화천군 사내면 삼일리 686-1,"숙박,펜션",,35297587,카누글램핑펜션,18
강원도 화천군 하남면 거례리 484-2,"여행,명소,관람,체험",,1017778777,거례리사랑나무,19
강원도 화천군 간동면 유촌리 137-1,"숙박,캠핑,야영장","캠핑,글램핑,계곡,깨끗한,휴식",37026683,낭만캠프,20
강원도 춘천시 남산면 서천리 412,"여행,명소,식물원,수목원","수목원,레일바이크,단풍구경,유럽풍,숯불닭갈비",19928010,제이드가든,1
강원도 춘천시 사북면 고탄리 산50-3,"여행,명소,관람,체험","목장,동물농장,한우,목가적인,동물체험",30943701,해피초원목장,2
강원도 춘천시 서면 덕두원리 118-6,"여행,명소,산,고개","등산,폭포,계곡,조그마한,전망대",11491428,삼악산,3
강원도 춘천시 남산면 강촌리 432,"여행,명소,폭포","폭포,레일바이크,계곡,웅장한,등산",11491586,구곡폭포,4
강원도 춘천시 사북면 고성리 산102-13,"자연명소,휴양림,산림욕장","휴양림,오토캠핑,등산,호젓한,계곡",13190172,용화산자연휴양림,5
강원도 춘천시 칠전동 468-1,"여행,명소,전망대","하늘자전거,자전거도로,자전거코스,편안한,드라이브",35458369,춘천의암호스카이워크,6
강원도 춘천시 신동면 증리 323-2,"여행,명소,레일바이크","레일바이크,짚라인,짚와이어,화려한,경치",20579322,강촌레일파크 김유정레일바이크,7
강원도 춘천시 사북면 지암리 산5,"자연명소,휴양림,산림욕장","휴양림,계곡,캠핑,깨끗한,단풍구경",13165409,집다리골자연휴양림,8
강원도 춘천시 근화동 8-1,"여행,명소,전망대","오리배,전망대,야경,화려한,경치",38220085,소양강스카이워크,9
강원도 춘천시 남산면 백양리 29-1,"숙박,콘도,리조트","스키장,눈썰매장,야외수영장,편안한,드라이브",11555876,엘리시안 강촌,10
강원도 춘천시 북산면 청평리 674,"종교,불교","계곡,유람선,단풍구경,고즈넉한,폭포",13343438,청평사,11
부산광역시 수영구 민락동 192-20,"여행,명소,해수욕장,해변","수변공원,야경투어,해변카페,화려한,밤바다",11491655,광안리해수욕장,1
부산광역시 해운대구 우동,"여행,명소,해수욕장,해변","해변,밤바다,돼지국밥,화려한,야경투어",11491806,해운대해수욕장,2
부산광역시 사하구 다대동,"여행,명소,해수욕장,해변","일몰,갯벌체험,해변,화려한,음악분수대",13491855,다대포해수욕장,3
부산광역시 영도구 동삼동 산19-2,"여행,명소,유원지","유람선,수국길,전망대,친절한,경치",12079965,태종대,4
부산광역시 사하구 감천동 1-14,"여행,명소,체험마을","벽화마을,느린우체통,씨앗호떡,아기자기,야경투어",21884707,감천문화마을,5
부산광역시 기장군 기장읍 시랑리 416-3,"종교,불교","신비한,아울렛,경치,어묵,과학관",11737443,해동용궁사,6
부산광역시 서구 암남동,"여행,명소,해수욕장,해변","해변카페,해안산책로,섬,깨끗한,야경투어",13491649,부산송도해수욕장,7
부산광역시 해운대구 중동 1414-16,"관람,체험,아쿠아리움","아쿠아리움,해저터널,펭귄,신비로운,데이트",11589853,씨라이프부산아쿠아리움,8
부산광역시 북구 만덕동,"여행,명소,산,고개","등산,철쭉,둘레길,편안한,야경",13491615,백양산,9
부산광역시 기장군 장안읍 임랑리,"여행,명소,해수욕장,해변","해변카페,캠핑,드라이브,조그마한,치킨",13491880,임랑해수욕장,10
부산광역시 해운대구 중동 1408-5,"숙박,호텔","야외수영장,노천온천,카지노,고급스러운,야경투어",11576700,파라다이스호텔 부산,11
부산광역시 기장군 일광면 삼성리,"여행,명소,해수욕장,해변","해변,오토캠핑,해루질,깨끗한,경치",13490896,일광해수욕장,12
부산광역시 기장군 기장읍 시랑리 704-1,"숙박,호텔","실내수영장,야외수영장,이탈리안레스토랑,고급스러운,경치",650968109,힐튼호텔부산,13
부산광역시 영도구 영선동4가 605-3,"여행,명소,지역명소","전망대,해안산책로,야시장,소박한,야경투어",37418047,흰여울문화마을,14
부산광역시 동래구 온천동 137,"여행,명소,온천,스파","노천온천,온천스파,딸기케이크,화려한,등산",11658114,허심청,15
강원도 춘천시 삼천동 468-2,"여행,명소,관람,체험","카누,수상레저,모터보트,낭만적인,경치",36336279,춘천중도물레길,12
강원도 춘천시 신동면 정족리,"여행,명소,산,고개","등산,숯불닭갈비,산행,편안한,산책로",19816205,금병산,13
강원도 춘천시 사농동 61-2,"여행,명소,테마파크","놀이동산,동물원,공원,조그마한,나들이",13471180,육림랜드,14
강원도 춘천시 신동면 증리 866-1,"여행,명소,체험마을","레일바이크,동백꽃,박물관,소박하고,등산",12157995,김유정 문학촌,15
강원도 춘천시 근화동 690-1,"여행,명소,유원지","오리배,시민공원,호수,재미있는,나들이",12210476,공지천유원지,16
강원도 춘천시 효자동 541-6,"여행,명소,거리,골목","벽화마을,사진찍기,숯불닭갈비,재미있는,산책",38321976,낭만골목,17
강원도 춘천시 동산면 군자리 산403,"자연명소,휴양림,산림욕장","휴양림,글램핑,캠핑,깨끗한,단풍구경",12947095,춘천숲자연휴양림,18
강원도 춘천시 근화동 175,"여행,명소,도시,테마공원","공원,실내놀이터,키즈카페,재미있는,나들이",34301929,춘천꿈자람어린이공원,19
강원도 춘천시 근화동,"여행,명소,기념물","야경,오리배,숯불닭갈비,깨끗한,드라이브",19903104,소양강처녀동상,20
부산광역시 수영구 민락동 110-18,"여행,명소,도시,테마공원","수변공원,야경,포장마차,깨끗한,핫플레이스",13196092,민락수변공원,16
부산광역시 해운대구 중동 산42-20,"지역명소,도보코스","야경투어,해안산책로,벚꽃명소,고급스러운,벚꽃길",13491814,해운대달맞이길,17
부산광역시 해운대구 우동 1409-3,"숙박,호텔","디저트뷔페,실내수영장,디저트카페,편안한,결혼기념일",31696883,파크하얏트부산호텔,18
부산광역시 사상구 삼락동 29-46,"여행,명소,자연,생태공원","생태공원,연꽃단지,시민공원,화려한,사진찍기",31927837,삼락생태공원,19
부산광역시 영도구 봉래동1가 29,"숙박,호텔","바다전망,야경,시장,화려한,휴식",37993162,라발스호텔,20
강원도 평창군 대관령면 횡계리 14-104,"여행,명소,관람,체험","목장,양꼬치,커피거리,깨끗한,가을축제",11685515,대관령양떼목장,1
강원도 평창군 봉평면 면온리 1095-1,"숙박,콘도,리조트","스키장,스노우보드,눈썰매장,편안한,휴식",11727758,휘닉스 평창,2
강원도 평창군 대관령면 횡계리 산1-134,"여행,명소,관람,체험","목장,승마체험,승마장,목가적인,동물원",35438640,대관령 하늘목장,3
강원도 평창군 진부면 동산리 산1,"여행,명소,거리,골목","전나무숲길,단풍구경,국립공원,편안한,산책로",15787284,오대산월정사전나무숲길,4
강원도 평창군 진부면 간평리 221-1,"숙박,호텔","실내수영장,글램핑,한우,유럽풍,경치",37230621,켄싱턴호텔 평창,5
강원도 평창군 봉평면 흥정리 흥정계곡,"여행,명소,계곡","계곡,캠핑,닭백숙,깨끗한,힐링",11491271,흥정계곡,6
강원도 평창군 대관령면 용산리 130,"숙박,콘도,리조트","스키장,스노우보드,워터파크,안락한,단풍구경",12118790,용평리조트,7
강원도 평창군 대관령면 425,"숙박,콘도,리조트","눈썰매장,스키장,스노우보드,편안한,휴식",12398587,알펜시아,8
강원도 평창군 진부면 동산리 63-1,"종교,불교","전나무숲길,템플스테이,국립공원,고즈넉한,단풍구경",11663919,월정사,9
강원도 평창군 봉평면 면온리 1095-1,"레저,테마,워터파크","실내워터파크,실내수영장,파도풀,깨끗한,휴식",12874819,휘닉스평창 블루캐니언,10
강원도 평창군 대관령면 용산리 425,"레저,테마,워터파크","실내워터파크,유수풀,실내수영장,편안한,휴식",13460606,알펜시아리조트오션700워터파크,11
강원도 평창군 봉평면 창동리 544-3,"여행,명소,기념관,생가","메밀꽃밭,메밀국수,막국수,서정적인,가을축제",11780874,이효석 문학관,12
강원도 평창군 대관령면 용산리 425,"숙박,호텔","레스토랑,스키장,치킨,편안한,단풍구경",30827182,인터컨티넨탈알펜시아평창리조트,13
강원도 평창군 대관령면 병내리 403,"여행,명소,식물원,수목원","식물원,목장,국립공원,재미있는,촬영지",11583651,한국자생식물원,14
강원도 평창군 대관령면 횡계리 245-66,"숙박,호텔",,1566307742,평창 라마다 호텔&스위트,15
강원도 평창군 미탄면 마하리,"여행,명소,동굴","동굴,체험학습,패러글라이딩,신비로운,산행",13491548,평창백룡동굴,16
강원도 평창군 진부면 수항리 산10,"자연명소,휴양림,산림욕장","휴양림,캠핑,계곡,고즈넉한,단풍구경",13165637,두타산자연휴양림,17
전라남도 보성군 보성읍 봉산리 1287-1,"여행,명소,지역명소","보성녹차,녹차밭,녹차아이스크림,조그마한,힐링",19707383,대한다원보성녹차밭,1
전라남도 보성군 회천면 동율리 544-13,"여행,명소,해수욕장,해변","해변,캠핑,녹차밭,낭만적인,갯벌체험",11491765,율포솔밭해수욕장,2
전라남도 보성군 웅치면 대산리 산113-1,"자연명소,휴양림,산림욕장","휴양림,짚라인,계곡,편안한,등산",13165391,제암산자연휴양림,3
전라남도 보성군 득량면 비봉리 산113,"여행,명소,박물관","공룡알,박물관,공원,웅장한,나들이",434696838,비봉공룡공원,4
전라남도 보성군 득량면 오봉리 909-35,"여행,명소,거리,골목","다방,녹차밭,드라마세트장,아기자기,사진찍기",38323025,득량역 추억의거리,5
전라남도 보성군 보성읍 봉산리 1297-6,"여행,명소,관광농원,팜스테이","녹차밭,전망대,경치,힐링,초콜릿",37244216,봇재,6
전라남도 보성군 문덕면 죽산리 831,"종교,불교","벚꽃길,박물관,템플스테이,연꽃,계곡",11664038,대원사,7
전라남도 보성군 회천면 동율리 552,"여행,명소,온천,스파",,1354486052,율포해수녹차센터,8
전라남도 보성군 벌교읍 벌교리 508,"여행,명소,지역명소",,1151785924,월곡영화골벽화마을,9
전라남도 보성군 보성읍 봉산리 1210,"여행,명소,축제,행사","녹차밭,공원,해변,데이트,전망대",37468799,보성차밭빛축제,10
전라남도 보성군 회천면 영천리 11-4,"숙박,펜션","녹차밭,녹차아이스크림,전망대,경치,해변",17416123,초록잎이펼치는세상,11
전라남도 보성군 벌교읍 벌교리 153-1,"여행,명소,보물","뗏목,꼬막정식,시장,녹차밭,벚꽃길",20108498,보성벌교홍교,12
전라남도 보성군 벌교읍 벌교리 640-2,"숙박,전통숙소","꼬막정식,벌교꼬막,목공소,고즈넉한,휴식",33525643,구보성여관,13
전라남도 보성군 회천면 동율리 528-1,"숙박,콘도,리조트","보성녹차,해변,뮤지컬,힐링,밤바다",11821700,보성다비치콘도,14
전라남도 보성군 득량면 오봉리 산7,"여행,명소,식물원,수목원",,1579789482,초암정원,15
전라남도 보성군 득량면 오봉리,"여행,명소,문화재",,17414611,보성열화정,16
전라남도 보성군 득량면 비봉리 561-5,"숙박,펜션",,34897259,보성드림캠핑장,17
전라남도 보성군 득량면 비봉리,"여행,명소,자연,생태공원","공룡알,공원,산책로,드라이브,바다낚시",20027667,비봉공룡알화석지,18
강원도 평창군 진부면 장전리 산1,"여행,명소,계곡","계곡,폭포,휴양림,신비로운,힐링",11491236,장전계곡,18
강원도 평창군 대관령면 용산리 130,"레저,테마,워터파크","파도풀,유수풀,야외수영장,재미있는,휴식",12887478,용평리조트 워터파크,19
강원도 평창군 미탄면 마하리 324-1,"여행,명소,체험마을","동굴,카라반,캠핑,깨끗한,힐링",35195298,어름치마을,20
전라남도 보성군 회천면 율포리 315-16,"레저,테마,워터파크","파도풀,워터파크,해변,깨끗한,힐링",17224291,율포해수풀장,19
전라남도 보성군 보성읍 봉산리 1212-10 번 외 4필지,"숙박,콘도,리조트","녹차밭,보성녹차,박물관,과학관,수영장",20992766,보성녹차리조트,20
전라남도 여수시 수정동 산1-11,"여행,명소,섬","국립공원,동백꽃,밤바다,화려한,야경투어",11491916,오동도,1
전라남도 여수시 돌산읍 율림리 산7,"종교,불교","갓김치,전망대,일몰,아담한,등산",11664041,향일암,2
전라남도 여수시 수정동 774-1,"관람,체험,아쿠아리움","아쿠아리움,트릭아트,박물관,신비로운,사진찍기",21529770,아쿠아플라넷 여수,3
전라남도 여수시 중앙동 385-6,"여행,명소,광장","수제버거,밤바다,해양공원,화려한,야경투어",17281819,이순신광장,4
전라남도 여수시 남면 심장리,"여행,명소,섬","섬,트래킹,둘레길,깨끗한,등산",13491050,금오도,5
전라남도 여수시 만흥동,"여행,명소,해수욕장,해변","검은모래해변,레일바이크,밤바다,이국적,야경투어",13491325,만성리검은모래해변,6
전라남도 여수시 소호동 923,"숙박,콘도,리조트","실내워터파크,열기구,해상케이블카,편안한,휴식",12911294,디오션리조트,7
전라남도 여수시 돌산읍 우두리 산1,"여행,명소,도시,테마공원","밤바다,해상케이블카,야경투어,화려한,해양공원",13447177,돌산공원,8
전라남도 여수시 종화동,"여행,명소,등대",,17281230,하멜등대,9
전라남도 여수시 종화동 300-3 거북선대교아래,"지역명소,도보코스","해물삼합,밤바다,포장마차,낭만적인,야경투어",49252227,여수낭만포차거리,10
전라남도 여수시 신월동 197-30,"숙박,호텔","실내수영장,바다전망,밤바다,편안한,힐링",21436375,히든베이호텔,11
전라남도 여수시 소라면 죽림리 116,"여행,명소,테마파크",,1615094405,유월드 루지 테마파크,12
전라남도 여수시 수정동 332-15,"숙박,호텔",,1906617930,소노캄 여수,13
전라남도 여수시 수정동 777-1,"숙박,콘도,리조트",,1562265281,유탑 마리나 호텔&리조트,14
전라남도 여수시 수정동 774-4,"숙박,호텔",,1458535515,여수베네치아호텔&리조트,15
전라남도 여수시 돌산읍 평사리 1584,"여행,명소,관람,체험",,1777903766,여수예술랜드 레저,16
전라남도 여수시 오천동,"여행,명소,해수욕장,해변","검은모래해변,캠핑,치킨,깨끗한,드라이브",13491189,모사금해수욕장,17
전라남도 여수시 고소동 268,"여행,명소,체험마을","벽화마을,해양공원,밤바다,사진찍기,케이블카",809035097,고소동 벽화마을,18
전라남도 여수시 군자동 472,"여행,명소,국보","벽화마을,야경투어,밤바다,웅장한,유자빵",13283762,진남관,19
전라남도 여수시 돌산읍,"여행,명소,해수욕장,해변","검은모래해변,캠핑,바다낚시,깨끗한,드라이브",13491724,방죽포해수욕장,20
강원도 태백시 황지동 623,"여행,명소,호수,연못,저수지","물닭갈비,재래시장,동굴,조그마한,등산",13289605,황지연못,1
강원도 태백시 혈동,"여행,명소,산,고개","등산,눈꽃열차,국립공원,깨끗한,야간산행",13491090,태백산,2
강원도 태백시 황지동,"여행,명소,체험마을","해바라기밭,식물원,계곡,평화로운,나들이",13548365,구와우마을,3
강원도 태백시 창죽동 9-440,"여행,명소,지역명소",,1536710863,바람의언덕,4
강원도 태백시 화전동 산47-69,"여행,명소,동굴","동굴,음악분수,계곡,신비로운,등산",11491284,용연동굴,5
강원도 태백시 장성동 31-2,"여행,명소,테마파크","테마파크,키즈랜드,체험관,재미있는,국립공원",31101993,365세이프타운,6
강원도 태백시 통동 산67-38,"여행,명소,촬영장소","촬영지,드라마세트장,철길,이국적,물닭갈비",37829374,드라마[태양의후예]촬영지,7
강원도 태백시 삼수동,"여행,명소,체험마을","풍력발전소,계곡,일출,이국적,촬영지",13491739,귀네미마을,8
강원도 태백시 하사미동 524-189,"여행,명소,군립,시립공원",,13544170,대이리군립공원,9
강원도 태백시 황지동 산176-28,"숙박,콘도,리조트","스키장,눈썰매장,썰매,쾌적한,휴식",12900927,오투리조트,10
강원도 태백시 동점동 498-123,"여행,명소,기념물","박물관,협곡열차,동굴,신비로운,사진찍기",15724468,구문소,11
강원도 태백시 소도동 47-20,"여행,명소,국립공원","눈꽃열차,등산,눈썰매장,화려한,박물관",12089593,태백산국립공원,12
강원도 태백시 황지동 283,"여행,명소,축제,행사","해바라기밭,축제행사,물닭갈비,평화로운,힐링",37830210,태백 해바라기축제,13
강원도 태백시 철암동 산90-1,"자연명소,휴양림,산림욕장","휴양림,계곡,캠핑,조그마한,단풍구경",13165470,태백고원자연휴양림,14
강원도 태백시 상장동,"여행,명소,체험마을",벽화마을,34581422,상장동벽화마을,15
강원도 태백시 소도동,"여행,명소,문화재",,15724912,태백산국립공원천제단,16
강원도 태백시 황지동 253-167,"숙박,모텔","물닭갈비,일출,공원",12064124,카스텔로 호텔,17
전라남도 영광군 염산면 두우리,"여행,명소,해수욕장,해변","해변,일몰,갯벌체험,조그마한,맛조개",13491238,백바위해수욕장,1
전라남도 영광군 홍농읍 계마리 799-1,"여행,명소,해수욕장,해변","해변,오토캠핑,맛조개,깨끗한,갯벌체험",11491644,가마미해수욕장,2
전라남도 영광군 불갑면 모악리,"여행,명소,산,고개","꽃무릇,등산,단풍,아늑한,영광굴비",13556674,불갑산,3
전라남도 영광군 불갑면 모악리 8,"종교,불교","꽃무릇,템플스테이,단풍구경,화려한,등산",11664043,불갑사,4
전라남도 영광군 낙월면,"여행,명소,섬","섬,캠핑,맛조개,힐링,유람선",13490906,송이도,5
전라남도 영광군 염산면 옥실리 1106-40,"여행,명소,전망대","전망대,일몰,섬,웅장한,드라이브",32072842,영광칠산타워,6
전라남도 영광군 홍농읍 계마리 894-29,"여행,명소,항구","일몰,바다낚시,항구,나들이,유람선",19769437,계마항,7
전라남도 영광군 법성면 법성리,"여행,명소,항구","영광굴비,항구,일몰,섬,고추장",13490955,법성포,8
전라남도 영광군 불갑면 모악리,"여행,명소,지역명소","꽃무릇,수변공원,등산,화려한,저수지",17153071,불갑사관광지,9
전라남도 영광군 백수읍 구수리,"여행,명소,거리,골목",,683824234,백수해안도로,10
전라남도 영광군 불갑면 방마리 산37-4,"여행,명소,도시,테마공원","수변공원,저수지,산책로,드라이브,폭포",34557365,불갑저수지 수변공원,11
전라남도 영광군 백수읍 백암리 236-1,"숙박,펜션","바베큐장,야외수영장,백합죽,이국적,드라이브",20277740,쉐이리펜션,12
전라남도 영광군 법성면 진내리,"여행,명소,근린공원",,17155419,숲쟁이꽃동산,13
전라남도 영광군 영광읍 도동리 366,"여행,명소,숲,숲길",,1455790686,영광 물무산 행복숲,14
전라남도 영광군 홍농읍 계마리 808-1,"레저,테마,워터파크",,38431528,가마미아쿠아월드&카라반,15
전라남도 영광군 백수읍 구수리,"여행,명소,해수욕장,해변","갯벌체험,해변,조개잡기,드라이브",13491185,모래미해수욕장,16
전라남도 영광군 홍농읍 성산리,"여행,명소,도시,테마공원","아쿠아리움,공원,산책,나들이,일몰",19699867,한마음공원,17
전라남도 영광군 백수읍 길용리 806-1,"숙박,캠핑,야영장",,1270802631,휴파크 영광점,18
전라남도 영광군 백수읍 대신리,"여행,명소,관람,체험",,17149346,365계단,19
전라남도 영광군 낙월면 월촌리,"여행,명소,섬",,20027690,안마도,20
강원도 태백시 소도동 331-1,"숙박,민박","계곡,등산,공원,물닭갈비,동굴",11818222,태백산 민박촌,18
강원도 태백시 화전동,"여행,명소,체험여행",,15725146,도깨비도로,19
강원도 태백시 황지동,"여행,명소,전망대",,15721039,오투전망대,20
전라북도 군산시 경암동 539-4,"여행,명소,거리,골목","철길,치즈호떡,벽화마을,아기자기,사진찍기",31825959,경암동철길마을,1
전라북도 군산시 신흥동,"여행,명소,문화재","철길,촬영지,박물관,이국적,츄러스",13491827,신흥동일본식가옥,2
전라북도 군산시 옥도면 선유도리,"여행,명소,해수욕장,해변","섬,해변,유람선,쾌적한,갯벌체험",11491731,선유도해수욕장,3
전라북도 군산시 옥도면 선유도리 산56-33,"여행,명소,섬","섬,유람선,짚라인,이국적,경치",17512710,선유도,4
전라북도 군산시 나운동 1223-5,"여행,명소,도시,테마공원","음악분수대,호수,시민공원,화려한,데이트",21070906,은파호수공원,5
전라북도 군산시 옥도면,"여행,명소,섬","고등어낚시,섬,쭈꾸미,깨끗한,드라이브",13491241,야미도,6
전라북도 군산시 금광동 135-1,"종교,불교","벽화마을,철길,박물관,화려한,촬영지",12405527,동국사,7
전라북도 군산시 신창동 1-5,"여행,명소,촬영장소","철길,박물관,촬영지,조그마한,매운잡채",35977906,영화[8월의크리스마스]촬영지,8
전라북도 군산시 장미동 1-4,"여행,명소,테마공원","해양공원,박물관,철길,호젓한,스템프투어",13569602,진포해양테마공원,9
전라북도 군산시 비응도동,"여행,명소,지역명소","갯벌체험,유채꽃,패러글라이딩,조그마한,일몰",17513085,새만금방조제,10
전라북도 군산시 옥도면,"여행,명소,섬","일몰,섬,전망대,편안한,등산",13490871,신시도,11
전라북도 군산시 나운동 867-4,"숙박,호텔","오믈렛,이탈리안레스토랑,산책,깨끗한,휴식",37153367,라마다 군산호텔,12
전라북도 군산시 월명동 6-4,"여행,명소,테마파크","테디베어,박물관,요트,화려한,데이트",37915220,테디베어뮤지엄 군산,13
전라북도 군산시 해망동,"여행,명소,문화재","공원,야경,전망대,포근한,촬영지",17485250,해망굴,14
전라북도 군산시 옥도면,"여행,명소,섬","섬,스쿠터,유람선,경치,해변",13491573,장자도,15
전라북도 군산시 옥도면 대장도리,"여행,명소,섬","섬,일몰,유람선,소박하고,힐링",13491264,고군산군도,16
전라북도 군산시 옥도면 선유도리 산56-36,짚라인,"짚라인,레포츠,전망대,유람선,해변",37625514,선유스카이SUN라인,17
전라북도 군산시 장미동 1-67,"여행,명소,거리,골목","근대화거리,박물관,항구",68032504,군산근대화거리,18
전라북도 군산시 성산면,"여행,명소,산,고개","전망대,일몰,야경,화려한,산행",13491943,오성산,19
전라북도 군산시 해망동,"여행,명소,도시,테마공원","공원,편백나무숲,호수,화려한,단풍구경",13491070,월명공원,20
전라북도 남원시 천거동 78,"여행,명소,문화,유적","야경,공연,테마파크,조그마한,단풍구경",12292865,광한루원,1
전라북도 남원시 산내면,"여행,명소,계곡","계곡,단풍길,트래킹,편안한,등산",13491819,뱀사골계곡,2
전라북도 남원시 어현동 37-158,"여행,명소,테마공원","테마파크,천문대,바닥분수,아기자기,야경투어",12756624,춘향테마파크,3
전라북도 남원시 산내면,"여행,명소,계곡","계곡,국립공원,닭백숙,깨끗한,단풍구경",13491124,달궁계곡,4
전라북도 남원시 이백면 양가리 80-4,"여행,명소,식물원,수목원",,1914706803,아담원,5
전라북도 남원시 어현동 37-122,"숙박,콘도,리조트","야경,공연,수영장,깨끗한,휴식",21012194,켄싱턴리조트 지리산남원,6
전라북도 남원시 금동 81,"숙박,호텔","전복죽,힐링,고즈넉한,한과,전통체험",37996315,남원예촌,7
전라북도 남원시 어현동 37-140,"여행,명소,테마파크","놀이동산,관람차,공원,화려한,촬영지",12388659,남원랜드,8
전라북도 남원시 노암동 1-1,"여행,명소,천문대","천문대,테마파크,과학관,신비로운,체험관",30827019,남원항공우주천문대,9
전라북도 남원시 주천면 용담리 산38,"숙박,호텔","수영장,주스,산책로,화려한,휴식",19997791,스위트호텔 남원,10
전라북도 남원시 인월면 인월리 산53-1,"자연명소,휴양림,산림욕장","휴양림,둘레길,캠핑,산행",11828813,흥부골자연휴양림,11
전라북도 남원시 운봉읍 용산리 268-14,"숙박,호텔",,1322965308,오헤브데이호텔,12
전라북도 남원시 인월면 인월리 541,"여행,명소,체험마을","둘레길,한과,농장,깨끗한,힐링",20283702,지리산달오름마을,13
